app_id,content,stars
1590,This game is super fun! It is amazing but there is one aspect in which I would like to describe it's that half of the characters are for the VIP and to be a VIP YOU have to pay I don't mind paying but it's that the weak characters with not very strong weapons are FREE but the better and strong Chara...,5
1265,"So good , many ppl bruh",1
1548,"I love this game because every time I play I win and you can say shoe people and you don't get to see people you get. You get like money and stuff when you shoot the person and you win and it's a good game I can I got just two three I got one 1000 I have to start over in a soccer game game if you w...",5
289,This is a really nice game but some levels are very hard please make robbery Bob triple trouble,5
974,"Thanks for give update to this game becuse in the last version the game bugs more like if you got the 6 Chaos Emeralds the character Knuckles wont unlocked. I rate 4 stars because after defeating Robotnik in Final Zonemy handphone says ""Sonic 1 has stopped"".This kinda of a bug and i hope you can f...",4
927,"The fact that they want to charge close to $6 for a game that literally has no new challenges after level 30 is hilarious. After level 30 it just keeps repeating you get to know all the levels really well because there's nothing new .",2
362,"The game is really good . All weapons and gameplay is fine . The only problem irritating me is the lagging of game  even after having fast internet connection  it always shows battle timeout . This problem always occurs with me  if the game keeps closing  how am i going to play it and u expect m...",1
169,"It's an acquired taste the controls are pretty smooth the weapons are nice I just wish there were more (or any) voice clips like reloading or grenade but I'm not the one who made the game lol. In my opinion this game is great",4
1125,This game take Toomuch time to load. Sometimes it doesn't start and once it has taken 25mins to start. The internet connection is also proper and then also it is not starting. Please azur limited reply to me,1
85,This game is awesome. This game is like real life. The graphics are amazing. The weapons are really cool and really strong. You should install this game if your into action packed shooting. This game is the best game I ever played. Whoever made this game is really good at making games. I love this g...,5
1118,Why do i not get the mission rewards im shown to have won namely the money wheelbarrow? I am grinding to unlock armor and guns armor is 5 wheelbarrows guns are like 3 or 4 but each time i am shown to have won a wheelbarrow the upgrade screen still shows same number as before not adding the newly won...,2
617,"Best game as I have more delight of flight in my life. My favourite place in the world is clouds or sky. Where one can go whenever he/she wants. I have not researched about wars but the most favourite fighter of mine is Grumman F-14.",4
1597,"Rule the skies in the #1 gorgeous 3D aerial combat! Climb into the cockpit of your favorite fighter aircraft get ready to take-off and soar into the skies brimming with visceral dogfights! Fly solo as a lone wolf or command a fleet of acrobatic aircraft to establish air superiority over the battle...",5
654,I sign into google play games 6 days after playing this game. But I didn't get any achievements . I tries signing in again but it won't work.,4
1828,It is amazing.... Only the running should be continuous,5
868,This is very good game....I have past all the level and i was delete this game...So i install again...And is was so fun..😉Thnk you...But...Why should minecraft gme need to pay and this gme are not??....Can give minecraft gme do not pay...Can...Plz...Blh tdak game minecraft tidak prlu bayar. .Just f...,5
1416,"Honestly a great game I've been playing it for a few months and its worked perfectly for me up until the last update. Now I can't play duels in ACT 5. Even with a stable internet connection when I try fighting in a duel it keeps saying I should connect to the Internet first...",4
200,"I just love this game excellent graphics. everything is good. but the only problem is ads. whenever I finish a match, the ads starts to load and it goes on like forever. please fix this and I will give this game 5 stars.",3
1411,I got this game to play with friends and turns out it's the game as critical action. ABSOLUTELY NOTHING is different Would not recommend.,1
1737,"A great game details but full of ads they could have a game such like pubg but they want easy money unfortunately",1
318,"I thought to give 5 stars the reason that I gave 4 stars is there was multiplayer in this game.",4
288,"Normally I would moan because it is just a reskin of Subway Surfers and Talking Tom Gold Run but this game is so different. The main mode is where you do tons of missions to unlock cool stuff! (By the way the game is inspired by the series: Super Noms on YouTube.) Overall the game is fun!!",5
610,"Exciting run game. Great graphics easy to figure out how to play the game. Different missions makes it very interesting. Takes the mind off of things.",4
102,"I like everything ACCEPT the POWER UPS!! You can barely tell whats coming at u with the invisible totally sucks an also collecting items half the time I'm wrecking into stuff after u pick it up cause u can't freaking see",3
1219,"Great graphics and gameplay. The things is items are too pricy and bugs are frequent - players disappear in front of you while others just spawn right behind you leaving your tank defenseless. These factors make the experience a little annoying at times. Overall it's still a game to play. Highly a...",4
1290,"It's a good game it really is. Good graphics and gameplay is above average. So why the low score you ask? Well it is very much a pay to win game. Average payouts for missions are right around 8 to 9k but right now my upgrades for my tier 3 tank run around 200k and more. This means that it takes for...",2
1138,"This game is still total trash! Over powered pay to win tanks kill you with one shot. There is no skill just pay money and become so over matched that there is no fun left in the game. You can spend milluons to max out tanks and still be killed with one shot by pay to win chumps. Fix the match up a...",1
979,The game is fun but ads progressively get longer and more for no reason and it can't be stopped. It's really dumb to have your game send 2 or 3 ads after every game. I can live with an ad every couple of rounds but 2 or 3 for one is not fair. Congrats on making a good money making app but this app i...,1
1630,"PvP Arena Challenge doesn't appear in most recent update. Developers respond to requests with ""sorry we won't actually speak to you"" the send you links to FAQ page. 4/3/20 UPDATE: So they updated the app and I now have PvP. Problem is that the developers don't care about hackers and cheaters. Those...",1
