id,app_name,genre,rating,reviews,cost_label,rate_5_pc,rate_4_pc,rate_3_pc,rate_2_pc,rate_1_pc,updated,size,installs,current_version,requires_android,content_rating,in_app_products,offered_by
1,Swamp Attack,Action,4.6,"2,357,254 total",Install,78.125,10.9375,4.6875,1.5625,4.6875,"June 29, 2018",70M,"100,000,000+",3.0.1,4.1 and up,Rated for 7+,"₫22,000 - ₫2,250,000 per item",Outfit7 Limited
2,Miraculous Ladybug & Cat Noir,Action,4.3,"561,390 total",Install,73.5294,8.088230000000001,4.41176,2.94118,11.0294,"April 10, 2020",46M,"50,000,000+",4.5.80,4.4 and up,Rated for 12+,"₫23,260 - ₫2,349,260 per item",Crazy Labs by TabTale
3,Mini Militia - Doodle Army 2,Action,3.9,"2,560,652 total",Install,63.2911,9.49367,5.6962,3.16456,18.3544,"February 27, 2020",34M,"100,000,000+",5.1.0,4.1 and up,Rated for 12+,"₫22,000 - ₫2,350,000 per item",Miniclip.com
4,Crossy Road,,4.6,"4,401,691 total",Install,78.125,12.5,4.6875,0.78125,3.90625,"February 27, 2020",75M,"100,000,000+",4.3.18,4.4 and up,Rated for 3+,"₫20,000 - ₫618,000 per item",HIPSTER WHALE
5,Stickman Battle,Action,4.0,"25,853 total",Install,62.1118,10.559000000000001,8.074530000000001,4.96894,14.2857,"April 20, 2020",Varies with device,"10,000,000+",1.0.29,5.0 and up,Rated for 12+,"₫23,000 - ₫230,000 per item",OneSoft Global PTE. LTD.
6,Children's doctor : dentist.,,3.8,"61,279 total",Install,57.1429,8.57143,8.0,6.28571,20.0,"January 15, 2020",20M,"10,000,000+",1.1.6,4.1 and up,Rated for 3+,,YovoGames
7,PJ Masks™: Moonlight Heroes,,3.9,"124,422 total",Install,62.5,8.125,6.25,4.375,18.75,"February 24, 2020",83M,"50,000,000+",3.0.0,4.1 and up,Rated for 3+,"₫69,000 - ₫99,999 per item",Entertainment One
8,Local Weather Forecast,Weather,4.5,"16,111 total",Install,72.9927,17.5182,3.64964,1.45985,4.37956,"April 10, 2020",7.9M,"1,000,000+",2.10.12,5.0 and up,Rated for 3+,,Tools Dev
9,ABC Kids - Tracing & Phonics,,4.4,"51,085 total",Install,75.188,12.0301,4.51128,1.50376,6.76692,"February 28, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Rated for 3+,,RV AppStudios
10,Animal Sounds,,4.6,"39,693 total",Install,78.125,14.0625,3.90625,0.78125,3.125,"December 28, 2017",67M,"5,000,000+",1.11,4.0.3 and up,Rated for 3+,"₫22,000 - ₫137,000 per item",Papumba
11,8 Ball Pool,Sports,4.5,"18,551,077 total",Install,76.9231,10.7692,3.84615,1.53846,6.923080000000001,"April 3, 2020",59M,"500,000,000+",4.8.4,4.1 and up,Rated for 3+,"₫22,000 - ₫2,350,000 per item",Miniclip.com
12,"Nox Cleaner - Booster, Optimizer, Clean Master",Tools,4.5,"1,184,281 total",Install,80.0,7.2,4.0,1.6,7.2,"April 14, 2020",27M,"50,000,000+",2.7.2,4.4 and up,Rated for 3+,"₫23,000 - ₫333,000 per item",Nox Ltd.
